order_id,supplier_id,order_date,delivery_date,amount_eur,status,special_circumstance
1,1,2025-10-08,2025-10-19,71116.05,Delivered,False
2,1,2025-05-27,,19050.25,In Transit,False
3,1,2025-06-14,2025-06-26,40326.51,Delivered,False
4,1,2025-04-20,,44183.03,Cancelled,False
5,1,2025-03-28,2025-04-03,56514.04,Delivered,False
6,2,2025-02-17,2025-03-14,69838.36,Delivered,False
7,2,2025-06-08,2025-06-27,20257.5,Delivered,False
8,2,2025-03-17,2025-04-10,3539.52,Delivered,False
9,2,2025-09-01,2025-09-24,52541.38,Delivered,False
10,3,2025-08-01,,75492.43,In Transit,False
11,3,2025-04-10,2025-05-05,61481.88,Delivered,False
12,3,2025-09-11,2025-10-03,34871.01,Delivered,False
13,3,2025-01-03,2025-01-22,76037.1,Delivered,False
14,3,2025-08-06,,19773.23,Cancelled,False
15,4,2025-01-26,2025-02-09,48043.38,Delivered,False
16,4,2025-08-22,2025-09-09,12633.82,Delivered,False
17,4,2025-09-29,,83989.02,In Transit,False
18,4,2025-06-12,2025-06-23,80828.31,Delivered,False
19,4,2025-09-16,,37132.85,In Transit,False
20,5,2025-03-23,2025-04-02,63595.23,Delivered,False
21,5,2025-08-19,2025-08-30,23142.49,Delivered,False
22,5,2025-05-22,,65445.44,In Transit,False
23,5,2025-09-06,2025-09-24,53833.49,Delivered,False
24,5,2025-08-14,2025-08-31,7969.86,Delivered,False
25,6,2025-05-20,,29543.27,In Transit,False
26,6,2025-02-11,2025-03-07,13054.23,Delivered,False
27,6,2025-07-16,,59444.81,Cancelled,False
28,7,2025-02-02,2025-02-05,36141.47,Delivered,False
29,7,2025-10-05,2025-10-16,40404.68,Delivered,False
30,7,2025-04-16,2025-04-23,71046.41,Delivered,False
31,8,2025-10-22,2025-11-17,33261.82,Delivered,False
32,8,2025-06-30,2025-07-17,26434.16,Delivered,False
33,9,2025-10-03,,63917.56,In Transit,False
34,9,2025-04-23,2025-05-05,42267.16,Delivered,False
35,9,2025-08-12,2025-08-22,42051.11,Delivered,False
36,9,2025-06-22,2025-07-01,57350.95,Delivered,False
37,9,2025-03-26,2025-04-01,71682.22,Delivered,False
38,10,2025-07-21,,50923.05,Cancelled,False
39,10,2025-01-14,2025-01-19,8509.61,Delivered,False
40,11,2025-08-25,2025-09-09,16674.37,Delivered,False
41,11,2025-07-14,2025-08-02,28833.95,Delivered,False
42,11,2025-06-17,2025-07-05,29681.3,Delivered,False
43,12,2025-08-04,2025-09-01,22564.67,Delivered,False
44,12,2025-08-29,,3118.5,In Transit,False
45,12,2025-01-27,2025-02-28,84992.3,Delivered,False
46,12,2025-04-25,,55787.03,Cancelled,False
47,13,2025-01-16,2025-02-05,80792.58,Delivered,False
48,13,2025-01-11,2025-01-29,53381.53,Delivered,False
49,14,2025-08-31,,57399.81,In Transit,False
50,14,2025-04-22,2025-05-19,40330.34,Delivered,False
51,14,2025-07-08,,15510.39,In Transit,False
52,15,2025-03-25,2025-04-19,82054.18,Delivered,False
53,15,2025-10-24,2025-11-14,3644.15,Delivered,False
54,16,2025-07-23,2025-08-17,80112.79,Delivered,False
55,16,2025-02-08,,50940.17,Cancelled,False
56,16,2025-05-05,2025-05-25,10008.76,Delivered,False
57,16,2025-03-03,,67984.97,In Transit,False
58,16,2025-01-22,2025-02-19,30491.51,Delivered,False
59,17,2025-02-05,2025-02-19,43747.73,Delivered,False
60,17,2025-01-07,2025-01-27,72439.56,Delivered,False
61,17,2025-02-24,2025-03-10,37699.2,Delivered,False
62,17,2025-08-24,2025-09-12,60560.27,Delivered,False
63,18,2025-09-25,2025-10-06,82117.06,Delivered,False
64,18,2025-10-03,2025-10-10,66182.56,Delivered,False
65,18,2025-08-12,,70448.84,In Transit,False
66,19,2025-06-15,2025-07-06,72618.05,Delivered,False
67,19,2025-05-23,2025-06-11,75116.2,Delivered,False
68,19,2025-08-26,,49082.45,Cancelled,False
69,19,2025-07-14,2025-08-06,29589.12,Delivered,False
70,20,2025-04-04,2025-04-23,42210.42,Delivered,False
71,20,2025-05-13,,29918.29,In Transit,False
72,20,2025-05-22,,47908.55,In Transit,False
73,20,2025-04-08,,8648.68,Cancelled,False
74,21,2025-09-08,2025-09-22,47857.21,Delivered,False
75,21,2025-09-01,2025-09-20,55432.89,Delivered,False
76,21,2025-08-18,2025-09-02,67709.89,Delivered,False
77,21,2025-05-31,,20003.3,Cancelled,False
78,21,2025-05-05,,27068.2,In Transit,False
79,22,2025-08-31,2025-09-15,47714.99,Delivered,False
80,22,2025-08-06,,84718.73,In Transit,False
81,22,2025-06-19,2025-07-03,30876.18,Delivered,False
82,22,2025-05-19,2025-06-06,27103.02,Delivered,False
83,23,2025-04-09,,27848.25,Cancelled,False
84,23,2025-10-02,,80898.28,Cancelled,False
85,24,2025-04-09,2025-05-05,19568.12,Delivered,False
86,24,2025-05-22,,62002.85,In Transit,False
87,24,2025-05-25,2025-06-22,83372.64,Delivered,False
88,25,2025-04-27,2025-05-19,31633.57,Delivered,False
89,25,2025-01-08,2025-01-29,60619.54,Delivered,False
90,25,2025-05-21,2025-06-14,5300.56,Delivered,False
91,25,2025-10-11,2025-10-30,25893.41,Delivered,False
92,26,2025-02-22,,74372.1,In Transit,False
93,26,2025-05-26,2025-06-11,40694.64,Delivered,False
94,26,2025-06-24,2025-07-16,16894.37,Delivered,False
95,26,2025-05-10,2025-05-31,80078.81,Delivered,False
96,26,2025-02-28,2025-03-15,70146.66,Delivered,False
97,27,2025-02-07,,49681.27,Cancelled,False
98,27,2025-01-28,,14169.21,In Transit,False
99,27,2025-06-05,2025-06-22,8612.61,Delivered,False
100,27,2025-03-02,2025-03-11,48099.1,Delivered,False
101,27,2025-04-26,2025-05-06,66270.41,Delivered,False
102,28,2025-08-15,,26328.99,In Transit,False
103,28,2025-08-08,,26999.25,In Transit,False
