rating_id,order_id,supplier_id,quality,communication
1,1,1,4,3
3,3,1,4,3
5,5,1,3,4
6,6,2,5,5
7,7,2,3,3
8,8,2,4,4
9,9,2,4,5
11,11,3,1,2
12,12,3,3,3
13,13,3,3,3
15,15,4,4,4
16,16,4,5,4
18,18,4,4,4
20,20,5,4,3
21,21,5,3,5
23,23,5,4,4
24,24,5,3,4
26,26,6,3,2
28,28,7,3,5
29,29,7,3,4
30,30,7,5,4
31,31,8,3,4
32,32,8,1,3
34,34,9,3,2
35,35,9,2,4
36,36,9,2,3
37,37,9,3,2
39,39,10,5,3
40,40,11,2,1
41,41,11,3,3
42,42,11,2,3
43,43,12,3,4
45,45,12,2,2
47,47,13,4,4
48,48,13,2,3
50,50,14,2,3
52,52,15,5,2
53,53,15,3,4
54,54,16,4,2
56,56,16,5,3
58,58,16,4,5
59,59,17,3,3
60,60,17,2,4
61,61,17,4,2
62,62,17,3,3
63,63,18,4,5
64,64,18,4,3
66,66,19,5,3
67,67,19,4,5
69,69,19,2,3
70,70,20,4,4
74,74,21,4,3
75,75,21,3,2
76,76,21,2,3
79,79,22,2,3
81,81,22,3,3
82,82,22,2,1
85,85,24,4,4
87,87,24,4,2
88,88,25,4,4
89,89,25,3,4
90,90,25,5,3
91,91,25,3,4
93,93,26,4,5
94,94,26,2,3
95,95,26,3,4
96,96,26,2,3
99,99,27,4,2
100,100,27,3,2
101,101,27,2,3
105,105,28,4,4
106,106,28,4,2
107,107,29,3,4
108,108,29,4,4
109,109,29,4,4
110,110,30,4,3
111,111,30,3,3
113,113,30,1,3
114,114,31,5,4
115,115,31,3,5
116,116,31,3,4
117,117,32,3,4
118,118,32,3,3
120,120,32,5,2
121,121,32,4,3
122,122,33,3,4
123,123,33,4,4
125,125,33,5,4
126,126,34,4,3
127,127,34,3,3
128,128,35,4,3
130,130,35,2,3
131,131,35,2,3
132,132,36,4,5
134,134,37,4,4
135,135,37,4,4
136,136,37,3,3
138,138,37,4,3
139,139,38,3,4
140,140,38,3,2
141,141,39,3,3
142,142,39,2,4
143,143,39,3,4
144,144,40,5,4
145,145,40,3,3
146,146,40,3,3
148,148,40,5,5
150,150,41,5,3
151,151,41,4,4
152,152,41,5,4
154,154,42,3,2
156,156,42,2,4
158,158,43,2,4
159,159,43,2,3
160,160,43,2,3
161,161,44,2,5
163,163,45,4,5
164,164,45,3,3
166,166,46,4,4
167,167,46,5,4
168,168,46,2,3
169,169,46,3,2
171,171,47,1,2
172,172,47,3,4
173,173,48,3,2
175,175,48,2,3
176,176,48,1,3
177,177,49,3,3
179,179,49,3,2
180,180,49,3,3
181,181,49,2,4
182,182,50,3,3
183,183,50,3,3
184,184,50,3,3
185,185,50,4,4
189,189,51,1,4
190,190,52,5,4
193,193,53,2,2
194,194,53,1,3
195,195,54,2,4
197,197,55,4,3
198,198,55,3,2
199,199,55,2,3
200,200,55,3,2
203,203,56,4,4
204,204,57,2,4
207,207,58,2,2
209,209,58,2,4
210,210,59,4,3
211,211,59,1,3
212,212,60,2,3
217,217,62,5,5
218,218,62,4,3
219,219,63,3,3
220,220,63,3,3
222,222,63,2,3
223,223,63,2,3
225,225,64,3,4
226,226,65,5,4
228,228,65,2,4
230,230,66,4,5
231,231,66,5,4
232,232,66,4,5
233,233,67,4,4
234,234,67,5,2
235,235,67,4,3
236,236,68,3,4
237,237,68,4,4
240,240,69,3,3
241,241,70,3,3
242,242,70,4,2
243,243,70,2,3
245,245,70,4,4
249,249,71,3,4
250,250,71,2,3
251,251,72,4,3
252,252,72,4,4
253,253,72,1,4
255,255,72,5,3
259,259,74,3,3
264,264,76,2,3
265,265,76,4,3
266,266,76,3,4
270,270,77,3,5
271,271,77,5,3
272,272,77,3,5
274,274,78,1,2
275,275,78,5,2
276,276,79,3,3
278,278,79,3,1
279,279,79,2,3
281,281,80,3,3
283,283,80,2,3
285,285,81,2,2
286,286,81,3,3
288,288,82,2,1
290,290,82,3,5
291,291,83,4,4
292,292,83,1,3
293,293,84,3,3
294,294,84,2,1
295,295,84,2,3
296,296,84,3,2
297,297,85,2,4
300,300,86,2,2
302,302,87,4,4
303,303,88,4,2
310,310,89,5,5
311,311,89,5,5
312,312,90,5,4
313,313,90,5,4
314,314,90,4,3
315,315,90,4,4
318,318,91,2,2
319,319,91,3,3
320,320,91,4,4
321,321,92,3,5
322,322,92,3,4
323,323,93,3,3
324,324,93,2,3
329,329,94,4,3
330,330,95,3,3
334,334,95,2,2
335,335,96,3,3
336,336,96,1,1
337,337,96,2,3
338,338,96,2,1
340,340,97,3,2
342,342,98,3,4
345,345,99,4,4
346,346,99,3,2
348,348,100,4,3
349,349,100,4,5
350,350,101,5,3
351,351,101,5,5
352,352,101,3,4
353,353,102,3,2
355,355,103,5,2
356,356,103,5,3
358,358,104,3,3
359,359,104,3,4
361,361,104,4,3
362,362,105,3,3
363,363,105,3,2
364,364,106,4,4
365,365,106,2,4
367,367,106,5,4
368,368,106,5,4
370,370,107,4,4
372,372,108,3,2
373,373,108,4,2
374,374,108,2,3
377,377,109,3,3
378,378,109,4,4
379,379,110,5,4
382,382,110,3,5
384,384,111,4,3
385,385,111,2,3
386,386,111,2,2
387,387,112,3,3
390,390,113,2,3
391,391,113,3,2
393,393,113,2,2
394,394,114,3,4
398,398,115,4,3
399,399,115,4,4
401,401,116,4,4
402,402,116,4,5
